what,kind,bundleId,bundleVersion,description,time
executed,command,com.pittypanda.plugins.couch,1.0.0.201010261838,"com.pittypanda.plugins.couch.commands.push",1350536048010
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350536048116
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350536054927
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1350536084153
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1350536091508
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1350536093569
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350536094835
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350536097564
executed,command,com.pittypanda.plugins.couch,1.0.0.201010261838,"com.pittypanda.plugins.couch.commands.push",1350536098734
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350536098768
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350536108712
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1350536113278
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1350536120231
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1350536122922
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350536124268
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350536126186
executed,command,com.pittypanda.plugins.couch,1.0.0.201010261838,"com.pittypanda.plugins.couch.commands.push",1350536126647
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350536126869
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350536177612
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1350536180535
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1350536187039
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1350536196092
