what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350618200732
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350618207832
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350618224185
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1350618224199
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350618230553
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350618232408
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350618240120
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1350618245587
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350618247072
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350618249365
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1350618250674
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1350618253306
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1350618260065
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1350618266545
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1350618267626
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350618268832
executed,command,com.pittypanda.plugins.couch,1.0.0.201010261838,"com.pittypanda.plugins.couch.commands.push",1350618271421
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350618293983
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1350618304246
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1350618313719
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1350618315764
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350618345663
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350618346161
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1350618348353
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1350618348762
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1350618350484
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1350618353891
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1350618355743
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1350618356583
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350618357821
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350618359591
executed,command,com.pittypanda.plugins.couch,1.0.0.201010261838,"com.pittypanda.plugins.couch.commands.push",1350618359796
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350618360544
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350618376432
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350618378565
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350618380863
executed,command,com.pittypanda.plugins.couch,1.0.0.201010261838,"com.pittypanda.plugins.couch.commands.push",1350618382828
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350618382842
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350619224137
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350619226800
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350619302444
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350619308284
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350619394132
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350619395921
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350619402847
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1350619405712
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1350619407585
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1350619415898
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1350619416788
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1350619417746
